LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
O,ACACC,SPFLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Accord Cadre,2001-11-10,84643,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,ACACC,ACACC,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.005,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.795,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,ACACC90130,SPFLIBREF,*PF,*FILE,PF,,,4,,Fichier Accord Cadre,2019-01-30,165344,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,ACACC90130,ACACC90130,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.036,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,ACACC90201,SPFLIBREF,*PF,*FILE,PF,,,4,,,2019-02-01,170716,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,ACACC90201,ACACC90201,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.037,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,ACHAT2018,SPFLIBREF,*PF,*FILE,PF,,,4,,,2019-04-16,153033,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,ACHAT2018,ACHAT2018,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.038,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,ACINUTIL,SPFLIBREF,*PF,*FILE,PF,,,4,,,2019-10-30,150748,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,ACINUTIL,ACINUTIL,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.040,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,ADARC,SPFLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Accusé de Réception de Commande,2001-11-10,84901,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,ADARC,ADARC,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.041,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,AEAEX,SPFLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Avis d'expédition,2001-11-10,84940,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,AEAEX,AEAEX,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.048,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,AEAEX91029,SPFLIBREF,*PF,*FILE,PF,,,4,,,2019-10-29,161957,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,AEAEX91029,AEAEX91029,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.060,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,AFMVF,SPFLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Ajustements sur mouvements facturables,2001-11-10,85240,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,AFMVF,AFMVF,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.061,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,AFMVF_SAGT,SPFLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Ajustements sur mouvements facturables,2011-06-01,181228,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,AFMVF_SAGT,AFMVF_SAGT,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.062,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,AJAJF,SPFLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier ajustement de facturation,2001-11-10,85338,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,AJAJF,AJAJF,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.065,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.796,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,ANLOT,SPFLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Ancienneté des lots,2001-11-10,85344,GRAMMEO,*NONE,*NONE,*L03,,0,,,,0.0,0,,,,,,,,,0,,,ANLOT,ANLOT,SPFLIBREF,SPFLIBREF,,,0.0,,,,,2022-08-25 16:02:52.071,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.797,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
