LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
O,#F0401A,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Options: 1=Crt 2=Modif 4=Sup 6=Imp 8=Réact.,1993-08-07,184339,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,#F0401A,#F0401A,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.197,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.784,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,#F0402A,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Options: 1=Sél 2=Modif 4=Sup 6=Imp 8=Réact.,1993-08-07,184340,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,#F0402A,#F0402A,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.198,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.784,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,#F0404A,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Options: 1=Sél 2=Modif 4=Sup 6=Imp 8=Réact.,1993-08-07,184341,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,#F0404A,#F0404A,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.200,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.784,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,#F0404B,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Options: 1=Sél 2=Modif 4=Sup 6=Imp 8=Réact.,1993-08-07,184342,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,#F0404B,#F0404B,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.202,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.784,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,@#01CFI,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Module de controle du code fiscal,1993-08-07,184430,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,@#01CFI,@#01CFI,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.256,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.784,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,@#01NRT,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Module de controle du NÂ° registre de T.V.A.,1993-08-07,184431,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,@#01NRT,@#01NRT,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.257,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.784,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,@#CT004A,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Recherche du libellé pour une date donnée,1998-01-23,135643,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,@#CT004A,@#CT004A,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.206,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.784,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,@#CTL01A,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Saisie des écitures. Paramà¨tres,1993-08-07,184343,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,@#CTL01A,@#CTL01A,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.204,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.785,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,@#D0001A,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Controle de date  (AAAAMMJJ),1999-08-16,174143,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,@#D0001A,@#D0001A,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.208,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.785,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,@#D0002A,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 différence de 2 dates en nombre de jours,1993-08-07,184349,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,@#D0002A,@#D0002A,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.210,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.785,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,@#D0003A,SPRLIBREF,*RPG,*PGM,RPG,QRPGSRC,,8,,V01R00 Calcul de date_en fonction de nbr de jours,2017-07-06,123903,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,@#D0003A,@#D0003A,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:53.212,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.785,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
