LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
M,@REP,SPSRCREF,*PF,PF,,QDDSSRC,*NOTFOUND,4,A,Fichier répertoire,1997-11-24,0,GRAMMEO,*NONE,*NONE,,,65,,,,0.0,0,,,,,,,,,0,0,,@REP,@REP,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:45.465,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.662,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1001,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier de travail : Edition des Commandes (ALN),1999-03-30,0,GRAMMEO,*NONE,*NONE,,,35,,,,0.0,0,,,,,,,,,0,0,,AC1001,AC1001,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:46.569,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.664,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1004,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier de travail :Etat cdes à  surveiller (ALN),1994-02-05,0,GRAMMEO,*NONE,*NONE,,,40,,,,0.0,0,,,,,,,,,0,0,,AC1004,AC1004,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:32.606,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.672,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1005,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Etat de suivi de commandes d'achat(Fichier) (ALN),1994-08-30,0,GRAMMEO,*NONE,*NONE,,,105,,,,0.0,0,,,,,,,,,0,0,,AC1005,AC1005,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:32.540,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.673,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1006,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier de travail,1993-01-12,0,GRAMMEO,*NONE,*NONE,,,60,,,,0.0,0,,,,,,,,,0,0,,AC1006,AC1006,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.149,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.682,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1007,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier de travail,1993-01-13,0,GRAMMEO,*NONE,*NONE,,,58,,,,0.0,0,,,,,,,,,0,0,,AC1007,AC1007,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.173,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.686,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1009,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier de travail Topage automatique des factures,2000-09-13,0,GRAMMEO,*NONE,*NONE,,,125,,,,0.0,0,,,,,,,,,0,0,,AC1009,AC1009,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:39.475,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.688,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1011,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier Edition demandes ajustements,1994-12-06,0,GRAMMEO,*NONE,*NONE,,,116,,,,0.0,0,,,,,,,,,0,0,,AC1011,AC1011,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:39.602,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.690,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1030,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier W :Tonnages CDE + AE,1999-11-25,0,GRAMMEO,*NONE,*NONE,,,26,,,,0.0,0,,,,,,,,,0,0,,AC1030,AC1030,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:58.483,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.691,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1031,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier W :Réalisations/Commandes,2004-04-20,0,GRAMMEO,*NONE,*NONE,,,41,,,,0.0,0,,,,,,,,,0,0,,AC1031,AC1031,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:02:03.332,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.693,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC10311,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier W :Réalisations/Commandes,2000-08-30,0,GRAMMEO,*NONE,*NONE,,,20,,,,0.0,0,,,,,,,,,0,0,,AC10311,AC10311,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:59.507,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.695,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1090,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier de travail : Edition du résultat,1994-08-17,0,GRAMMEO,*NONE,*NONE,,,262,,,,0.0,0,,,,,,,,,0,0,,AC1090,AC1090,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.198,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.697,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1091,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier de travail : Edition du résultat,1994-12-26,0,GRAMMEO,*NONE,*NONE,,,262,,,,0.0,0,,,,,,,,,0,0,,AC1091,AC1091,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:39.960,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.699,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,AC1095,SPSRCREF,*PF,PF,,QDDSSRC,SPRLIBREF,4,A,Fichier W :Prévisions de livraisons de commandes,1999-11-18,0,GRAMMEO,*NONE,*NONE,,,21,,,,0.0,0,,,,,,,,,0,0,,AC1095,AC1095,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:58.348,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.707,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ACACC,SPSRCREF,*PF,PF,,QDDSSRC,SPFLIBREF,4,A,Fichier Accord Cadre (ALN),1995-10-02,0,GRAMMEO,*NONE,*NONE,,,1554,,,,0.0,0,,,,,,,,,0,0,,ACACC,ACACC,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:32.836,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.709,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,ADARC,SPSRCREF,*PF,PF,,QDDSSRC,SPFLIBREF,4,A,Fichier Accusé de Réception de Commande,1996-05-29,0,GRAMMEO,*NONE,*NONE,,,162,,,,0.0,0,,,,,,,,,0,0,,ADARC,ADARC,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:42.274,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:13.711,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
