OXR_CAPP,OXR_FROM_LIB,OXR_FROM_OBJ,OXR_FROM_TYPE,OXR_TO_LIB,OXR_TO_OBJ,OXR_TO_TYPE,OXR_TO_LF_LIB,OXR_TO_LF_OBJ
GRAMMEO,SPRLIBREF,#F0401A,*PGM,SPPPBDPGM,#F0401A,*FILE,,
GRAMMEO,SPRLIBREF,#F0401A,*PGM,*LIBL,#C0020AC,*PGM,,
GRAMMEO,SPRLIBREF,#F0401A,*PGM,*LIBL,#M0001AC,*PGM,,
GRAMMEO,SPRLIBREF,#F0401A,*PGM,*LIBL,#M0002AC,*PGM,,
GRAMMEO,SPRLIBREF,#F0402A,*PGM,FAMDVPGM,#F0402A,*FILE,,
GRAMMEO,SPRLIBREF,#F0404A,*PGM,FAMDVPGM,#F0404A,*FILE,,
GRAMMEO,SPRLIBREF,#F0404B,*PGM,FAMDVPGM,#F0404B,*FILE,,
GRAMMEO,SPRLIBREF,@#CT004A,*PGM,*LIBL,@#T0003B,*PGM,,
GRAMMEO,*LIBL,@#CTL01A,*PGM,*LIBL,Ã BD0505E C,*PGM,,
GRAMMEO,SPRLIBREF,@#D0001A,*PGM,*LIBL,@#D0001B,*PGM,,
GRAMMEO,SPRLIBREF,@#D0004A,*PGM,*LIBL,SC0120C,*PGM,,
GRAMMEO,SPRLIBREF,@#D0010A,*PGM,*LIBL,@#D0001A,*PGM,,
GRAMMEO,SPRLIBREF,@#D0011A,*PGM,*LIBL,@#D0001A,*PGM,,
GRAMMEO,SPRLIBREF,@#D0011A,*PGM,*LIBL,@#D0001B,*PGM,,
GRAMMEO,SPRLIBREF,@#D0011A,*PGM,*LIBL,@#D0003A,*PGM,,
GRAMMEO,SPRLIBREF,@#D0012A,*PGM,*LIBL,@#T0001B,*PGM,,
GRAMMEO,SPRLIBREF,@#D0012A,*PGM,*LIBL,@#T0003B,*PGM,,
GRAMMEO,SPRLIBREF,@#J0001AC,*PGM,*LIBL,@#J0001AC,*PGM,,
GRAMMEO,SPRLIBREF,@#N0001B,*PGM,FAMBDFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@#N0002B,*PGM,FAMBDFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@#N0003B,*PGM,FAMBDFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@#N0004B,*PGM,FAMBDFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@#P0001A,*PGM,*LIBL,@#T0003B,*PGM,,
GRAMMEO,SPRLIBREF,@#P0001AC,*PGM,*LIBL,@#P0001A,*PGM,,
GRAMMEO,SPRLIBREF,@#P0001AC,*PGM,*LIBL,@#P0001AC,*PGM,,
GRAMMEO,SPRLIBREF,@#P0001BC,*PGM,*LIBL,@#P0001A,*PGM,,
GRAMMEO,SPRLIBREF,@#P0001CC,*PGM,*LIBL,@#P0001A,*PGM,,
GRAMMEO,SPRLIBREF,@#T0005B,*PGM,FAMBDFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@#T0006B,*PGM,FAMBDFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@#T0007B,*PGM,TABBDFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@#T0008B,*PGM,FAMBDFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@J0001AC,*PGM,*LIBL,@J0001AC,*PGM,,
GRAMMEO,SPRLIBREF,@P0001A,*PGM,*LIBL,@#T0003B,*PGM,,
GRAMMEO,SPRLIBREF,@P0001AC,*PGM,*LIBL,@P0001A,*PGM,,
GRAMMEO,SPRLIBREF,@P0001AC,*PGM,*LIBL,@P0001AC,*PGM,,
GRAMMEO,SPRLIBREF,@P0001AC,*PGM,*LIBL,@P0001BC,*PGM,,
GRAMMEO,SPRLIBREF,@P0001BC,*PGM,*LIBL,@P0001A,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,GTIDV,@P0001C,*FILE,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,TABFIC,TABLE03,*FILE,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,#C0020AC,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,#F0404A,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,#H0000AC,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,#H0022AC,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,#M0001AC,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,#M0002AC,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,@#T0001C,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,@P0001A,*PGM,,
GRAMMEO,SPRLIBREF,@P0001C,*PGM,*LIBL,@P0001CC,*PGM,,
GRAMMEO,SPRLIBREF,@P0002AC,*PGM,*LIBL,@P0001A,*PGM,,
GRAMMEO,SPRLIBREF,@P0002AC,*PGM,*LIBL,@P0002BC,*PGM,,
GRAMMEO,SPRLIBREF,@P0002BC,*PGM,*LIBL,@P0001A,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,SPRLIB,AC0101A,*FILE,,
GRAMMEO,*LIBL,AC0101A,*PGM,*LIBL,AC0101B,*FILE,,
GRAMMEO,*LIBL,AC0101A,*PGM,*LIBL,AC0101D,*FILE,,
GRAMMEO,*LIBL,AC0101A,*PGM,*LIBL,BD0104B,*FILE,,
GRAMMEO,*LIBL,AC0101A,*PGM,*LIBL,BD0116B,*FILE,,
GRAMMEO,*LIBL,AC0101A,*PGM,*LIBL,BD0125B,*FILE,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,SPFLIBREF,TITIT,*FILE,SPFLIBREF,TITIT02
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,#C0020AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,#H0000AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,#H0022AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,#M0001AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,#M0002AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,#M0004AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,@#D0001A,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,@#D0011A,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,@#T0001B,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,AC0101B,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,AC0101D,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,AC0101K,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,AP0000G,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,BD0104B,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,BD0104K,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,BD0116B,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,BD0116K,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,BD0125B,*PGM,,
GRAMMEO,SPRLIBREF,AC0101A,*PGM,*LIBL,BD0125K,*PGM,,
GRAMMEO,*LIBL,AC0101B,*PGM,*LIBL,#F0404A,*FILE,,
GRAMMEO,SPRLIBREF,AC0101B,*PGM,SPRHARDIS,AC0101B,*FILE,,
GRAMMEO,*LIBL,AC0101B,*PGM,*LIBL,AC0101D,*FILE,,
GRAMMEO,*LIBL,AC0101B,*PGM,*LIBL,AC0102B,*FILE,,
GRAMMEO,SPRLIBREF,AC0101B,*PGM,SPFLIBREF,CECPE,*FILE,SPFLIBREF,CECPE01
GRAMMEO,SPRLIBREF,AC0101B,*PGM,SPFLIBREF,DADEA,*FILE,SPFLIBREF,DADEA03
GRAMMEO,SPRLIBREF,AC0101B,*PGM,*LIBL,#C0020AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101B,*PGM,*LIBL,#F0404A,*PGM,,
GRAMMEO,SPRLIBREF,AC0101B,*PGM,*LIBL,#H0000AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101B,*PGM,*LIBL,#H0022AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101B,*PGM,*LIBL,#M0001AC,*PGM,,
GRAMMEO,SPRLIBREF,AC0101B,*PGM,*LIBL,#M0002AC,*PGM,,
